Terakhir,Pembukaan,Tertinggi,Terendah
187020,185290,186970,185290
187950,187650,187940,187570
188050,188030,188030,188030
185500,183880,185880,182550
183660,180965,183945,180965
180975,182680,182910,180360
184640,184000,184200,183960
186920,185660,187020,185660
187270,187510,187510,187120
186240,186220,186600,185820
186960,184810,186780,184810
185420,193580,193580,185000
193280,194420,194670,193250
192910,197590,197990,192650
197490,196530,197550,196530
196670,193470,196780,193470
190160,190160,190160,190160
191400,191000,191520,190290
191180,191390,191390,191390
190080,189320,190030,189050
189800,190080,191200,188580
190000,188890,189700,188690
189420,188150,189230,187260
188650,189110,189200,187560
189830,190670,190670,190670
190390,189360,190370,189210
190490,190780,190790,190460
187370,187120,187600,186490
187090,185020,186570,185020
184790,184830,184910,183000
185870,184890,185950,183660
185250,186630,186630,186630
185310,188310,188310,184400
188980,187700,188660,187450
188130,185690,187320,185000
185560,185000,186040,184280
185510,185960,186230,185880
184460,184430,184430,183690
183460,182680,182680,182680
179720,179510,179510,178800
180480,183670,183680,183670
180700,180625,181680,180420
182750,183590,183590,182500
182900,182660,182800,182660
186270,188520,188960,184650
189630,188970,189380,188970
188530,187330,187750,187000
189710,189450,189450,189450
191090,190620,190620,190350
191480,190310,190470,190300
191590,189490,191390,189490
190280,189750,189750,189750
189020,188650,188650,188650
190650,190010,190010,190010
188400,189680,189680,189680
198220,197510,197510,197510
197640,194840,196830,194840
192510,193670,193670,193670
193860,191260,192800,191260
192110,192090,192090,192090
190830,190050,190050,190050
189690,190760,190760,190760
190890,190970,190970,190970
194200,192140,193350,192140
193600,191900,192610,191900
193510,192630,192640,192460
193410,194050,194050,190760
195850,192510,194860,192510
194450,192290,193660,192190
194120,194190,194190,194190
193640,193440,193440,192750
193880,192320,192320,191920
193800,192940,192940,192670
192450,193990,193990,193990
195870,195350,195770,194870
195600,193050,195620,192950
192550,190280,191620,189900
191950,191810,191810,191810
193630,193720,194220,190050
194700,193700,193700,193700
193440,192960,193370,192130
194320,192760,193550,192120
192270,192510,192510,192510
193020,190740,192120,190740
190920,188370,190550,187200
189290,188510,188510,188000
190310,187990,189260,187470
189530,191940,191940,191940
193610,193790,194050,192550
193860,194550,194550,194550
199050,197420,198200,197360
197820,197080,197440,196530
199990,198910,199790,198500
199560,198610,199750,198100
199310,197410,198780,197280
197650,198000,198000,198000
199210,197110,199140,196940
198140,195290,197360,194640
197030,195750,196590,193880
193710,194070,194740,193045
194065,194190,194430,193765
196160,195660,195950,195190
196540,196200,196900,196200
197430,198830,199090,195990
200930,201860,201860,199500
200950,199110,200230,199110
200130,199000,199000,199000
196360,196100,196100,196100
198530,199200,199200,199200
195610,195830,195840,195830
197330,196250,197940,195590
198060,198230,198230,195990
198020,196820,197120,196820
200360,200550,200550,200060
204770,202440,204110,202320
203260,198170,201230,197160
198780,200000,200000,199200
200970,199610,200150,197960
198790,196400,196400,196400
198750,206370,206370,199430
208420,206870,208000,206500
207300,212170,212170,212170
211520,208670,211500,208590
209330,209850,209850,209050
206290,202460,206840,201870
202790,202690,204000,201540
202690,200520,203500,200520
200670,201600,201600,198890
201700,200100,202500,200100
200570,200810,202810,196720
199740,196480,199990,196480
196570,194180,196100,194100
195520,192330,194500,192330
192660,190950,192420,190640
189890,186760,189130,186700
186760,186200,186240,186200
186100,184060,185100,184010
185410,185600,185600,185600
186940,186230,186310,185430
186950,185000,186390,185000
187140,185730,185830,185730
185810,185370,185370,185130
186010,187190,187190,187190
187680,185180,186760,185180
185620,183390,185360,183390
