Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
35.49,33.30,35.77,31.14,14610.0,14730.0,14784.5,14607.5
33.25,29.53,34.66,29.53,14710.0,14855.0,14895.0,14705.0
29.43,24.49,29.92,23.67,14860.0,14945.0,14986.0,14852.5
24.74,19.11,26.74,18.05,14920.0,14960.0,15152.5,14908.0
19.78,16.84,20.48,10.07,14875.0,15455.0,15532.5,14857.5
16.94,17.73,18.26,-40.32,15400.0,15470.0,15610.0,15400.0
18.27,24.60,24.74,17.31,15430.0,15800.0,15825.0,15400.0
22.76,26.09,28.36,22.57,15820.0,16450.0,16575.0,15820.0
28.34,20.93,29.13,19.27,16425.0,16155.0,16570.0,16155.0
21.51,22.52,25.24,20.80,16140.0,15975.0,16640.0,15975.0
22.43,33.75,33.75,19.46,15925.0,14705.0,16225.0,14705.0
31.73,32.87,36.35,27.34,14770.0,14270.0,14865.0,14270.0
41.28,43.70,48.66,41.05,14230.0,14360.0,14425.0,14100.0
44.76,52.60,52.64,43.85,14347.5,13777.5,14347.5,13777.5
53.38,52.23,54.50,50.88,13765.0,13675.0,13775.0,13654.0
52.05,50.12,52.34,49.42,13675.0,13675.0,13730.0,13645.0
50.32,51.01,52.20,49.31,13675.0,13665.0,13770.0,13595.0
51.56,53.70,54.37,50.97,13655.0,13575.0,13672.0,13575.0
54.19,59.17,59.73,53.85,13572.5,13642.5,13692.5,13572.5
58.54,59.04,59.27,57.36,13637.5,13737.5,13747.5,13622.5
59.04,63.71,65.65,58.66,13762.5,13927.5,13972.5,13747.5
63.05,61.71,64.09,60.63,13925.0,13950.0,13950.0,13865.0
61.72,60.41,61.97,60.10,13950.0,13955.0,13990.0,13947.0
60.44,59.87,61.47,59.71,13977.5,13997.5,14022.5,13977.5
60.07,59.11,60.48,58.11,13985.0,14005.0,14045.0,13955.0
59.20,55.47,59.85,55.35,14037.5,14102.5,14132.5,14012.5
55.17,57.92,58.68,55.02,14105.0,14086.0,14120.0,14075.0
57.77,57.88,58.74,54.76,14085.0,14070.0,14120.0,14070.0
57.72,57.40,57.97,56.20,14073.0,14030.0,14105.0,14015.0
57.24,56.41,57.88,55.76,14014.0,13994.0,14047.0,13969.0
56.20,56.65,56.92,53.71,14035.0,14020.0,14072.0,13985.0
56.66,53.71,56.74,52.71,14035.0,14125.0,14135.0,13985.0
53.78,54.90,54.90,52.39,14144.5,14115.5,14194.5,14113.5
54.70,52.69,54.93,51.38,14128.0,14135.0,14185.0,14125.0
52.81,56.54,56.57,50.99,14135.0,14155.0,14220.0,14115.0
55.91,59.25,59.39,54.75,14165.0,14070.0,14200.0,14065.0
58.09,61.48,63.38,57.67,14055.0,13980.0,14110.0,13975.0
54.85,56.80,58.76,54.00,13965.0,14085.0,14095.0,13905.0
56.52,55.00,57.76,52.84,14095.0,14186.0,14235.0,14085.0
55.10,53.25,56.89,52.96,14185.0,14235.0,14280.0,14185.0
54.17,54.96,57.13,53.24,14212.5,14212.5,14272.5,14182.5
54.87,54.32,57.47,53.54,14235.0,14205.0,14335.0,14205.0
54.50,55.38,55.61,50.52,14190.0,14190.0,14355.0,14175.0
