Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
1753.80,1746.00,1759.90,1743.00,73.98,73.24,74.27,72.81
1751.80,1771.40,1778.60,1740.00,73.30,71.97,73.50,71.61
1781.00,1777.10,1789.70,1767.20,72.23,70.85,72.30,70.64
1780.30,1767.80,1784.60,1761.30,70.56,70.59,71.63,69.67
1765.90,1755.60,1770.00,1745.60,70.29,71.92,72.08,69.86
1753.40,1756.80,1769.10,1750.00,71.97,72.62,72.72,71.21
1758.70,1798.10,1798.60,1747.50,72.61,72.65,72.99,71.53
1796.90,1808.30,1809.60,1794.10,72.61,70.76,73.14,70.65
1809.20,1796.40,1812.70,1783.00,70.46,70.64,71.22,69.98
1796.50,1791.30,1802.10,1786.80,70.45,69.74,70.97,69.51
1794.20,1797.90,1807.70,1790.40,69.72,67.97,69.96,67.68
1802.10,1793.60,1804.80,1787.80,68.14,69.36,69.89,67.56
1795.70,1798.90,1805.50,1785.60,69.30,68.37,69.75,68.31
1800.60,1834.00,1834.00,1796.00,68.35,69.11,69.48,67.64
1825.65,1829.95,1830.65,1823.65,68.80,68.75,69.47,68.27
1830.05,1832.20,1832.50,1829.65,68.75,69.22,69.23,68.73
1835.70,1813.50,1838.70,1813.50,69.29,69.76,70.53,69.05
1813.40,1818.40,1821.00,1809.50,69.99,68.29,70.61,67.84
1818.00,1818.60,1824.30,1813.80,68.59,68.55,69.24,67.12
1820.10,1814.40,1821.80,1806.60,68.50,69.18,69.34,68.16
1814.20,1822.90,1828.00,1812.60,69.21,69.30,69.64,67.67
1821.50,1796.70,1823.70,1788.70,68.74,67.75,69.05,67.52
1797.20,1795.20,1802.10,1783.40,67.42,68.00,68.31,67.02
1793.00,1805.90,1805.90,1787.00,68.36,67.63,68.54,66.92
1810.50,1809.50,1814.00,1805.30,67.54,65.54,67.80,65.41
1808.30,1783.80,1810.30,1780.20,65.64,61.96,66.00,61.74
1786.00,1784.20,1792.30,1782.00,62.32,64.05,64.10,62.11
1785.10,1791.50,1796.30,1776.60,63.69,64.58,64.76,62.63
1786.40,1790.40,1797.50,1784.10,65.46,66.58,67.48,64.34
1789.80,1791.00,1799.00,1785.00,66.59,67.43,67.72,66.33
1791.90,1782.40,1793.00,1775.20,67.29,67.71,68.27,65.73
1780.30,1759.80,1783.50,1758.50,68.44,68.91,69.22,67.77
1753.80,1754.60,1760.50,1745.30,69.09,69.36,69.62,68.46
1755.40,1732.30,1757.80,1728.00,69.25,68.51,69.45,66.67
1733.70,1734.00,1740.40,1720.70,68.29,66.85,68.90,66.56
1728.60,1766.00,1766.40,1680.00,66.48,67.88,67.90,65.15
1765.10,1806.80,1806.80,1762.00,68.28,69.14,70.18,67.80
1810.90,1816.60,1818.90,1802.10,69.09,68.06,69.35,67.61
1816.40,1820.40,1837.40,1811.10,68.15,70.32,70.81,67.85
1816.10,1817.90,1819.20,1811.80,70.56,71.52,71.96,69.19
1824.20,1818.60,1825.10,1811.30,71.26,73.91,73.95,70.55
1819.10,1834.70,1836.10,1817.10,73.95,73.41,74.23,72.93
1837.70,1813.50,1838.70,1813.50,73.62,72.40,73.68,72.26
1806.50,1810.30,1815.60,1798.00,72.39,71.90,72.60,71.70
1805.70,1802.90,1810.30,1799.10,71.65,72.22,72.33,71.08
1805.10,1808.00,1816.10,1802.30,71.91,72.18,72.43,70.56
1807.50,1812.80,1813.30,1795.20,72.07,71.71,72.21,71.39
1811.00,1806.70,1813.40,1798.20,71.91,70.22,72.03,69.86
1809.10,1814.50,1817.50,1800.00,70.30,66.45,70.51,66.44
1817.00,1819.40,1830.70,1811.40,67.42,66.60,67.65,65.21
1815.00,1818.20,1821.80,1801.30,66.42,71.49,71.67,65.63
1821.10,1837.60,1837.60,1815.60,71.81,71.48,72.30,70.41
1835.00,1834.10,1840.30,1826.80,71.65,72.96,72.96,71.40
1831.00,1813.20,1835.20,1811.60,73.13,75.17,75.44,72.21
1815.90,1814.30,1821.00,1808.30,75.25,74.18,75.52,73.68
1811.90,1814.60,1814.70,1797.20,74.10,74.74,74.93,73.16
1816.70,1809.00,1818.70,1803.00,74.56,73.26,74.76,72.72
1806.20,1809.90,1824.40,1799.60,72.94,72.17,73.26,70.76
1808.00,1805.30,1815.30,1803.60,72.20,73.85,74.86,71.07
1800.20,1793.70,1821.20,1793.40,73.37,75.35,76.98,72.94
1791.30,1786.50,1794.65,1784.75,76.25,75.15,76.40,74.75
1786.40,1788.00,1788.00,1785.80,75.14,75.22,75.28,75.00
1789.30,1783.00,1800.90,1781.00,75.16,75.02,75.62,74.41
1782.70,1776.00,1789.00,1775.00,75.23,73.50,76.22,73.39
1777.70,1770.00,1779.20,1759.50,73.47,73.47,74.14,72.82
1769.50,1781.00,1782.60,1757.60,72.98,72.78,73.81,71.97
1786.90,1788.20,1791.20,1780.20,72.91,73.99,74.45,72.62
1784.00,1783.00,1797.00,1782.60,74.05,73.32,74.18,72.85
1782.80,1784.80,1794.00,1778.90,73.30,73.28,73.61,72.32
1789.60,1787.40,1801.00,1780.40,73.08,72.91,74.25,72.82
1783.40,1791.30,1793.80,1777.20,73.06,73.41,73.95,72.94
1788.80,1770.00,1792.00,1770.00,73.66,71.52,73.96,71.15
1774.80,1786.10,1800.80,1768.80,71.64,71.10,72.17,70.16
1780.50,1818.70,1830.10,1774.00,71.04,71.65,72.30,69.77
1867.20,1863.70,1868.50,1814.10,72.15,72.45,72.99,71.61
1862.20,1871.50,1876.10,1859.00,72.12,71.16,72.49,70.81
1871.80,1882.70,1882.70,1852.00,70.88,70.65,71.78,70.65
1885.50,1910.20,1910.50,1883.00,70.91,70.10,71.24,69.68
1902.20,1894.80,1907.60,1880.60,70.29,69.76,70.65,68.68
1901.40,1900.70,1903.00,1896.90,69.96,70.01,70.62,69.46
1900.30,1904.50,1910.00,1895.20,70.05,69.29,70.27,68.47
1904.60,1890.90,1908.20,1890.90,69.23,69.52,70.00,68.93
1897.70,1874.40,1902.60,1861.80,69.62,68.91,69.76,68.33
1879.10,1912.30,1912.30,1873.90,68.81,68.76,69.40,68.19
1915.80,1904.30,1916.10,1903.80,68.83,67.99,69.00,67.78
1910.90,1915.00,1922.80,1900.90,67.72,66.68,68.87,66.41
1911.15,1906.80,1913.40,1904.85,66.96,66.58,67.41,66.41
1906.75,1907.60,1907.90,1906.10,66.59,66.70,66.75,66.53
1911.00,1902.00,1914.00,1893.60,66.32,66.95,67.52,66.17
1904.40,1907.00,1909.60,1897.70,66.85,66.16,66.92,65.47
1909.30,1915.30,1916.40,1908.80,66.21,66.04,66.43,65.25
1905.90,1887.20,1906.00,1887.20,66.07,66.02,66.51,65.41
1892.40,1889.00,1893.10,1888.80,66.05,63.87,66.14,63.63
1884.50,1884.30,1891.30,1881.80,63.58,61.89,64.07,61.56
1889.50,1883.80,1889.80,1875.70,62.05,63.39,63.96,61.89
1889.10,1875.10,1892.60,1871.00,63.36,65.28,65.35,61.95
1875.70,1875.60,1882.60,1875.60,65.49,66.33,67.01,64.11
1875.20,1853.20,1875.70,1853.10,66.27,65.50,66.43,64.83
1846.10,1846.20,1851.60,1845.90,65.37,63.83,65.62,63.33
1831.90,1824.00,1835.30,1818.00,63.82,65.75,65.81,63.09
1830.50,1842.40,1842.70,1822.00,66.08,65.46,66.63,64.97
1843.80,1847.30,1847.30,1827.00,65.28,64.90,65.50,63.68
1845.50,1840.40,1849.60,1840.40,64.92,65.57,65.75,63.95
1839.20,1825.40,1847.60,1825.40,64.90,64.90,65.24,63.90
1823.40,1802.70,1823.70,1801.70,64.71,65.27,65.98,64.50
1792.20,1785.70,1790.10,1785.70,65.63,66.45,66.76,64.92
1784.00,1791.50,1802.40,1783.80,65.69,64.53,66.19,64.29
1799.50,1784.60,1798.80,1784.60,64.49,63.64,64.68,62.91
1775.70,1775.60,1779.20,1773.70,63.58,64.88,64.95,63.08
1776.00,1795.40,1795.40,1767.00,65.01,63.70,65.47,63.65
1781.80,1780.00,1787.80,1776.70,63.86,63.04,64.53,62.67
1786.80,1789.00,1789.00,1785.80,62.94,61.97,63.30,61.91
1788.00,1788.40,1789.90,1788.10,61.91,62.06,62.31,60.66
1785.60,1791.90,1802.90,1785.40,62.14,61.65,62.43,61.25
1790.10,1794.80,1794.80,1788.30,61.43,61.11,61.87,60.61
1801.20,1789.20,1804.50,1789.20,61.35,62.39,62.56,60.86
1786.50,1778.40,1786.80,1775.00,62.44,63.47,64.25,61.50
1778.70,1795.90,1795.90,1779.00,63.38,62.98,63.63,62.63
1788.10,1770.50,1790.20,1768.30,63.13,63.32,63.88,62.83
1774.70,1760.00,1776.90,1760.00,63.46,62.83,63.57,62.53
1744.10,1752.10,1752.10,1743.60,63.15,60.44,63.44,60.38
1755.30,1733.10,1754.60,1733.10,60.18,59.64,60.59,59.64
1740.50,1740.30,1740.30,1740.30,59.70,59.35,60.77,58.73
1752.50,1748.70,1754.70,1748.70,59.32,59.76,59.95,59.10
1765.90,1760.00,1760.00,1758.40,59.60,59.52,59.93,58.82
1748.80,1749.00,1749.00,1748.90,59.77,59.26,60.04,58.12
1750.20,1742.80,1750.60,1742.80,59.33,58.80,60.90,58.62
1736.10,1732.00,1736.50,1732.00,58.65,61.50,61.50,57.63
1735.20,1717.90,1735.40,1717.90,61.45,59.49,61.75,58.86
1722.40,1691.20,1721.20,1686.10,59.16,60.45,61.17,58.85
1692.80,1711.00,1711.00,1688.80,60.55,61.96,62.27,59.94
1721.60,1736.80,1739.00,1715.80,61.56,60.93,61.77,59.41
1741.60,1732.50,1740.50,1728.10,60.97,58.48,61.36,58.32
1734.50,1743.30,1753.80,1734.10,58.56,60.80,60.86,57.44
1742.60,1742.40,1742.40,1742.20,61.18,57.40,61.34,57.29
1734.90,1738.00,1738.00,1734.30,57.76,61.28,61.35,57.25
1747.80,1746.50,1746.50,1736.80,61.55,61.55,61.90,60.39
1751.00,1752.40,1752.40,1742.10,61.42,59.56,61.72,58.94
