Terakhir_Emas,Pembukaan_Emas,Tertinggi_Emas,Terendah_Emas,Terakhir_Minyak,Pembukaan_Minyak,Tertinggi_Minyak,Terendah_Minyak
1329.80,1307.60,1344.00,1294.00,50.60,53.95,54.44,47.01
1347.10,1333.10,1378.00,1333.10,49.33,50.69,53.76,48.20
1348.50,1326.90,1340.00,1303.20,48.32,49.17,52.00,43.76
1314.00,1342.80,1342.80,1313.70,46.04,48.63,49.17,42.05
1340.70,1289.90,1323.60,1282.30,50.17,46.28,50.41,43.65
1388.50,1326.40,1393.70,1326.40,47.23,50.21,50.43,45.58
1357.60,1406.60,1406.60,1367.30,51.67,47.08,52.86,46.56
1347.70,1353.30,1382.00,1351.70,54.38,51.64,54.85,49.10
1357.30,1382.00,1382.00,1382.00,57.40,54.65,59.05,53.89
1391.90,1327.60,1372.10,1327.60,60.42,57.42,60.51,55.82
1439.40,1399.00,1399.00,1398.00,64.73,60.20,66.66,60.10
1419.20,1419.20,1419.20,1419.20,61.64,64.76,66.30,58.07
1426.00,1433.40,1433.40,1433.40,64.94,61.55,66.55,59.95
1419.10,1460.10,1460.10,1442.00,68.57,64.91,69.56,61.81
1395.00,1413.50,1413.50,1405.30,67.04,68.56,72.83,65.80
1343.70,1392.40,1392.40,1353.70,74.15,67.07,74.46,63.59
1309.80,1327.00,1327.00,1301.90,68.76,73.62,75.27,67.03
1277.70,1308.00,1308.00,1265.80,69.80,68.43,70.50,64.43
1268.70,1266.10,1271.90,1260.00,73.25,69.89,73.73,66.86
1288.20,1271.20,1296.70,1271.20,65.31,73.29,76.90,64.81
1292.70,1289.70,1289.70,1289.70,50.93,64.88,65.39,49.41
1347.10,1313.90,1343.00,1309.50,45.41,52.45,54.55,42.36
1384.00,1351.80,1377.60,1351.80,53.79,45.80,55.37,44.35
1375.30,1382.60,1388.00,1374.00,57.22,54.01,57.81,51.23
1350.40,1350.00,1368.20,1342.20,60.14,57.22,60.73,54.52
1340.40,1342.70,1363.90,1323.80,63.91,60.24,66.60,60.13
1357.50,1334.20,1350.20,1320.10,53.50,63.40,63.93,53.05
1452.90,1373.10,1422.60,1373.10,58.47,53.42,59.93,50.60
