Terakhir,Pembukaan,Tertinggi,Terendah
18898,1877,18866,18745
18813,18569,18732,185
18556,185,18604,18428
18551,18596,18623,18588
18446,18443,18443,18369
18346,18268,18268,18268
17972,17951,17951,1788
18048,18367,18368,18367
1807,180625,18168,18042
18275,18359,18359,1825
1829,18266,1828,18266
18627,18852,18896,18465
18963,18897,18938,18897
18853,18733,18775,187
18971,18945,18945,18945
19109,19062,19062,19035
19148,19031,19047,1903
19159,18949,19139,18949
19028,18975,18975,18975
18902,18865,18865,18865
19065,19001,19001,19001
1884,18968,18968,18968
19822,19751,19751,19751
19764,19484,19683,19484
19251,19367,19367,19367
19386,19126,1928,19126
19211,19209,19209,19209
19083,19005,19005,19005
18969,19076,19076,19076
19089,19097,19097,19097
1942,19214,19335,19214
1936,1919,19261,1919
19351,19263,19264,19246
19341,19405,19405,19076
19585,19251,19486,19251
19445,19229,19366,19219
19412,19419,19419,19419
19364,19344,19344,19275
19388,19232,19232,19192
1938,19294,19294,19267
19245,19399,19399,19399
19587,19535,19577,19487
1956,19305,19562,19295
19255,19028,19162,1899
19195,19181,19181,19181
19363,19372,19422,19005
1947,1937,1937,1937
19344,19296,19337,19213
19432,19276,19355,19212
19227,19251,19251,19251
19302,19074,19212,19074
19092,18837,19055,1872
18929,18851,18851,188
19031,18799,18926,18747
18953,19194,19194,19194
19361,19379,19405,19255
19386,19455,19455,19455
19905,19742,1982,19736
19782,19708,19744,19653
19999,19891,19979,1985
19956,19861,19975,1981
19931,19741,19878,19728
19765,198,198,198
19921,19711,19914,19694
19814,19529,19736,19464
19703,19575,19659,19388
19371,19407,19474,193045
194065,19419,19443,193765
19616,19566,19595,19519
19654,1962,1969,1962
19743,19883,19909,19599
20093,20186,20186,1995
20095,19911,20023,19911
20013,199,199,199
19636,1961,1961,1961
19853,1992,1992,1992
19561,19583,19584,19583
19733,19625,19794,19559
19806,19823,19823,19599
19802,19682,19712,19682
20036,20055,20055,20006
20477,20244,20411,20232
20326,19817,20123,19716
19878,2,2,1992
20097,19961,20015,19796
19879,1964,1964,1964
19875,20637,20637,19943
20842,20687,208,2065
2073,21217,21217,21217
21152,20867,2115,20859
20933,20985,20985,20905
20629,20246,20684,20187
20279,20269,204,20154
20269,20052,2035,20052
20067,2016,2016,19889
2017,2001,2025,2001
20057,20081,20281,19672
19974,19648,19999,19648
19657,19418,1961,1941
19552,19233,1945,19233
19266,19095,19242,19064
18989,18676,18913,1867
18676,1862,18624,1862
1861,18406,1851,18401
18541,1856,1856,1856
18694,18623,18631,18543
18695,185,18639,185
18714,18573,18583,18573
18581,18537,18537,18513
18601,18719,18719,18719
18768,18518,18676,18518
18562,18339,18536,18339
18347,18258,18286,18258
17876,17869,17887,178365
18283,1799,18213,17988
1818,183,1838,183
18365,18169,1835,18139
1816,18165,18165,18112
18144,17982,1814,1798
18044,18,18,18
18086,18065,18065,18065
18131,1803,1803,1803
17982,1787,17984,17831
17858,1767,17869,17618
17656,1775,1775,17623
17713,17682,17682,17682
17721,177,177,177
17623,17703,17703,176
17718,17804,17805,17804
1775,17841,17864,17623
17574,17609,17609,17533
17589,17552,17576,17552
17425,17394,17394,17394
172,17417,17417,17046
1763,17476,1752,17476
17362,176,176,17275
17633,17745,17753,17745
17771,17755,17755,17728
17768,17482,17715,17482
17533,17488,17573,17488
17498,1725,17274,17225
17488,17629,1764,17629
1727,173055,173135,171925
173065,173545,17359,17298
17749,17735,17735,17719
17605,17801,17801,17536
17921,1784,17912,1784
17851,17842,17842,17842
17726,17954,17954,17954
17904,17762,17815,17762
17744,17471,17471,17471
17503,17291,17503,17291
17417,17332,17345,17319
17344,17277,17342,17142
17503,17478,17478,17478
17611,17189,17228,17185
17217,17284,17284,1713
17438,17258,17391,17258
1741,17291,17291,17257
17211,17201,17201,17201
17132,17064,17064,17064
17303,17276,17441,17276
17387,17318,174,17127
17388,17467,1753,17268
17489,1759,1759,1745
17578,17531,17622,17531
17498,17095,17095,17095
16982,17222,17222,16796
17213,17156,17156,17156
17089,17178,17178,17178
17427,17665,17665,17665
17515,17607,17627,17364
17768,17791,17791,17765
17679,17325,1758,17325
17406,17406,17406,17406
17587,17475,17475,17475
16893,16901,16901,16901
16894,16888,16888,16888
17,16853,16886,16853
16541,1639,16515,16253
16467,16364,16364,16364
16016,15944,15944,15944
16067,16253,16253,16253
16533,16469,16469,16469
1661,16471,16471,16471
16683,16743,16743,16594
1639,16509,16566,16505
16692,15946,16535,15946
15883,15146,15728,15026
15014,15158,15158,15158
14972,14966,1508,14769
14946,15206,15206,15023
15411,15045,15615,14763
15,1485,1503,1485
15322,1591,1591,15293
16065,16543,16543,15815
16583,167,167,16531
16766,16759,16759,16621
16915,17099,17101,16729
16916,1696,17036,16863
16905,16557,1671,16552
16669,16642,16645,16642
167,16065,16638,16065
16206,16025,16243,16002
15966,15952,16178,15952
16764,1679,16844,167
16782,16776,16776,16776
16864,1681,16836,1681
17135,17074,17074,17074
16863,16723,16781,16723
1658,16414,16519,16414
16495,16398,16414,16362
16411,16173,16348,16173
158705,158615,158845,158185
158625,15855,158625,158345
16241,1601,16084,15973
1617,16079,16081,16079
16098,15908,15939,15875
16088,16067,16069,16067
16182,16067,16067,16067
16128,1591,15983,15884
16095,15807,15924,15793
16022,15794,1587,1573
1595,16023,16023,1576
1621,1606,1606,1606
16261,15997,16153,15977
16273,16016,1612,1599
16145,15945,16036,15893
16132,16067,16071,15934
16208,16168,16178,16168
16154,1595,16095,1595
16083,1585,15935,15801
15997,15831,15855,15776
1601,1595,1595,1595
156125,15572,15627,155665
155705,15574,155905,155645
16034,15786,1588,15771
1593,15804,15834,1575
15966,15878,15878,15878
15875,15732,15739,15634
15937,15868,15868,15749
16033,15776,15896,15741
15978,1583,15875,15702
16038,16126,16384,16126
16187,16026,16026,16026
16133,16082,16124,16003
15964,1591,15921,15886
15721,15487,15595,15482
152095,152085,152395,152085
15676,15467,1555,15464
15623,15439,15455,15401
15612,15407,1545,154
15571,15442,15442,15442
150405,15044,15044,150215
15473,15186,15301,15186
15312,15107,15149,15107
15231,15158,15158,15158
15266,15054,15104,15035
1521,15064,15085,15017
15235,15058,151,1505
15232,15054,15094,15039
1523,1493,15079,1493
15136,15112,1514,14941
