Terakhir_Minyak,Pembukaan_Minyak,Tertinggi_Minyak,Terendah_Minyak,Terakhir_IHSG,Pembukaan_IHSG,Tertinggi_IHSG,Terendah_IHSG
"42,97","42,48","43,78","42,23","5.346,66","5.272,81","5.381,95","5.261,41"
"42,34","42,24","43,03","41,46","5.272,81","5.247,69","5.327,32","5.244,00"
"42,01","41,50","42,94","41,17","5.247,69","5.143,89","5.279,35","5.134,87"
"41,22","40,39","43,52","39,58","5.143,89","5.149,63","5.187,96","4.928,47"
"40,27","41,26","41,93","38,72","5.149,63","5.082,99","5.149,63","5.080,12"
"41,29","40,64","42,40","39,83","5.082,99","5.079,58","5.162,98","5.031,89"
"40,59","40,35","41,26","39,07","5.079,58","5.031,26","5.116,46","5.024,93"
"40,55","40,31","41,08","38,54","5.031,26","4.973,79","5.111,56","4.973,49"
"40,65","37,96","40,74","37,50","4.973,79","4.904,09","4.997,48","4.862,04"
"38,49","39,18","41,63","37,08","4.904,09","4.942,27","4.977,65","4.879,13"
"39,75","36,03","40,49","34,36","4.942,27","4.880,36","5.018,98","4.809,62"
"36,26","39,41","40,44","34,48","4.880,36","4.947,78","5.139,41","4.712,07"
"39,55","35,21","39,68","34,27","4.947,78","4.753,61","5.014,76","4.753,61"
"35,49","33,30","35,77","31,14","4.753,61","4.545,95","4.755,96","4.541,83"
"33,25","29,53","34,66","29,53","4.545,95","4.507,61","4.609,04","4.487,18"
"29,43","24,49","29,92","23,67","4.507,61","4.597,43","4.659,86","4.460,27"
"24,74","19,11","26,74","18,05","4.597,43","4.716,40","4.716,40","4.576,23"
"19,78","16,84","20,48","10,07","4.716,40","4.496,06","4.726,77","4.474,89"
"16,94","17,73","18,26","-40,32","4.496,06","4.634,82","4.669,54","4.441,09"
"18,27","24,60","24,74","17,31","4.634,82","4.649,08","4.747,73","4.463,81"
"22,76","26,09","28,36","22,57","4.649,08","4.623,43","4.975,54","4.562,90"
"28,34","20,93","29,13","19,27","4.623,43","4.545,57","4.627,42","4.317,71"
"21,51","22,52","25,24","20,80","4.545,57","4.194,94","4.697,67","3.911,72"
"22,43","33,75","33,75","19,46","4.194,94","4.907,57","4.904,54","3.918,34"
"31,73","32,87","36,35","27,34","4.907,57","5.364,60","5.364,60","4.639,91"
"41,28","43,70","48,66","41,05","5.498,54","5.455,05","5.715,94","5.354,62"
"44,76","52,60","52,64","43,85","5.452,70","5.846,15","5.863,12","5.288,37"
"53,38","52,23","54,50","50,88","5.882,25","5.863,91","5.960,71","5.853,60"
"52,05","50,12","52,34","49,42","5.866,94","5.993,38","5.996,47","5.843,43"
"50,32","51,01","52,20","49,31","5.999,61","5.920,97","6.013,70","5.877,20"
"51,56","53,70","54,37","50,97","5.940,05","6.240,82","6.242,18","5.937,02"
"54,19","59,17","59,73","53,85","6.244,11","6.310,50","6.312,99","6.223,19"
"58,54","59,04","59,27","57,36","6.291,66","6.287,91","6.348,53","6.255,49"
"59,04","63,71","65,65","58,66","6.274,94","6.293,50","6.300,44","6.218,13"
"63,05","61,71","64,09","60,63","6.323,47","6.329,13","6.336,92","6.263,68"
"61,72","60,41","61,97","60,10","6.329,31","6.309,67","6.337,34","6.270,54"
"60,44","59,87","61,47","59,71","6.284,37","6.197,31","6.287,25","6.197,31"
"60,07","59,11","60,48","58,11","6.197,32","6.194,08","6.210,78","6.139,40"
"59,20","55,47","59,85","55,35","6.186,87","6.023,61","6.186,87","6.023,01"
"55,17","57,92","58,68","55,02","6.011,83","6.094,75","6.105,10","5.939,40"
"57,77","57,88","58,74","54,76","6.100,24","6.126,41","6.167,41","6.086,83"
"57,72","57,40","57,97","56,20","6.128,35","6.171,44","6.183,83","6.062,98"
"57,24","56,41","57,88","55,76","6.177,99","6.219,13","6.274,29","6.119,42"
"56,20","56,65","56,92","53,71","6.207,19","6.256,79","6.304,05","6.193,89"
"56,66","53,71","56,74","52,71","6.252,35","6.207,89","6.348,31","6.178,56"
"53,78","54,90","54,90","52,39","6.191,95","6.129,23","6.201,17","6.099,24"
"54,70","52,69","54,93","51,38","6.105,80","6.077,74","6.109,12","5.988,87"
"52,81","56,54","56,57","50,99","6.061,25","6.190,37","6.195,73","5.997,69"
"55,91","59,25","59,39","54,75","6.196,89","6.240,14","6.247,58","6.086,00"
"58,09","61,48","63,38","57,67","6.231,47","6.262,29","6.282,06","6.193,51"
"54,85","56,80","58,76","54,00","6.334,84","6.328,28","6.414,48","6.306,74"
"56,52","55,00","57,76","52,84","6.308,95","6.331,15","6.338,11","6.239,00"
"55,10","53,25","56,89","52,96","6.328,47","6.193,23","6.329,88","6.149,02"
"54,17","54,96","57,13","53,24","6.255,60","6.310,63","6.329,74","6.204,19"
"54,87","54,32","57,47","53,54","6.286,66","6.300,67","6.309,10","6.161,67"
"54,50","55,38","55,61","50,52","6.282,13","6.311,16","6.319,44","6.022,60"
"55,66","56,20","58,82","53,59","6.340,18","6.336,85","6.404,58","6.283,60"
"56,20","56,22","57,64","55,33","6.325,24","6.461,41","6.468,25","6.314,41"
"55,63","60,25","60,92","54,72","6.456,54","6.408,31","6.456,54","6.375,62"
"60,21","57,77","60,94","57,29","6.373,35","6.360,21","6.434,91","6.324,72"
"57,51","59,27","60,28","56,04","6.373,48","6.381,18","6.395,63","6.334,75"
"58,47","57,72","59,93","56,75","6.358,63","6.307,93","6.377,35","6.280,22"
"57,43","52,50","57,98","51,50","6.315,44","6.259,54","6.357,46","6.190,52"
"52,51","54,24","54,84","50,72","6.250,27","6.277,29","6.334,65","6.234,99"
"53,50","58,94","59,70","53,05","6.209,12","6.056,41","6.209,12","6.033,14"
"58,63","62,93","63,81","57,33","6.057,35","5.822,47","6.080,19","5.767,40"
"62,76","61,65","63,64","60,64","5.826,87","6.225,40","6.238,26","5.826,87"
"61,66","61,43","62,95","60,04","6.209,12","6.254,81","6.310,94","6.149,22"
"61,94","62,95","64,75","60,95","6.319,46","6.388,38","6.465,77","6.261,25"
"63,30","64,00","66,60","62,28","6.401,08","6.511,09","6.516,24","6.321,66"
"64,00","63,76","64,61","62,99","6.507,22","6.426,90","6.636,33","6.415,12"
"63,89","63,33","64,79","63,13","6.405,87","6.480,18","6.487,76","6.390,71"
"63,08","60,24","63,34","60,13","6.474,02","6.485,72","6.506,80","6.444,84"
"60,14","58,98","60,73","58,17","6.468,75","6.473,86","6.485,96","6.391,52"
"59,04","58,45","60,39","58,05","6.525,27","6.481,59","6.525,27","6.463,94"
"58,52","56,07","58,95","55,96","6.461,18","6.418,88","6.489,19","6.337,87"
"56,07","55,83","57,19","54,52","6.383,07","6.508,26","6.537,23","6.381,73"
"55,80","57,17","57,88","55,02","6.499,88","6.522,31","6.540,95","6.433,24"
"57,26","55,78","57,81","55,29","6.501,38","6.428,28","6.552,15","6.425,92"
"55,59","52,66","55,87","51,23","6.389,08","6.523,70","6.535,18","6.374,90"
"52,72","55,32","55,75","51,80","6.521,66","6.540,77","6.563,98","6.479,05"
"55,26","53,56","55,66","51,33","6.538,64","6.488,90","6.581,73","6.428,47"
"53,69","53,73","54,24","51,80","6.482,84","6.448,54","6.498,33","6.416,59"
"53,80","51,73","53,92","50,38","6.448,16","6.351,33","6.457,73","6.302,40"
"51,59","48,30","53,31","48,11","6.361,46","6.317,63","6.361,46","6.251,38"
