Terakhir,Pembukaan,Tertinggi,Terendah
67.39,62.00,67.76,61.93
62.06,64.91,65.42,61.81
64.94,65.90,66.55,63.72
65.88,62.23,66.00,61.36
62.34,62.10,62.54,60.11
62.04,61.55,63.28,59.95
61.25,63.60,64.24,60.13
63.55,61.63,63.73,60.75
61.68,59.12,61.99,58.20
59.20,65.10,65.40,58.07
65.45,66.18,66.46,63.67
66.14,63.61,66.66,63.17
63.37,64.43,64.89,62.85
64.30,61.61,64.77,61.34
61.44,60.20,62.21,60.10
60.42,58.40,60.51,58.32
58.47,57.37,58.50,56.82
57.30,57.25,58.56,56.09
57.36,58.32,58.34,55.82
58.36,58.95,58.99,56.75
58.95,56.69,59.05,55.57
56.55,56.90,57.15,54.81
56.74,55.97,57.92,55.66
55.64,54.16,55.76,53.75
53.90,52.07,54.20,51.55
51.47,51.43,52.37,50.70
51.45,49.25,51.72,49.13
49.29,51.64,51.71,49.10
51.67,50.68,52.86,50.39
50.66,49.85,50.81,49.19
49.89,47.58,50.50,47.00
47.48,47.28,49.42,47.15
47.29,47.89,48.20,45.58
47.87,48.72,48.75,47.03
48.51,48.79,49.16,46.46
48.82,49.59,50.22,47.98
49.58,49.85,50.43,48.37
49.71,45.62,49.81,45.40
45.77,46.68,47.55,45.54
46.54,44.35,46.74,43.65
44.23,46.28,47.32,43.78
46.04,43.16,46.35,42.63
43.01,44.68,45.06,42.05
44.74,45.80,46.71,44.22
45.83,47.71,48.42,45.20
47.66,49.93,50.28,46.74
49.80,50.60,52.00,48.18
50.33,47.85,50.53,47.75
47.84,46.35,48.22,45.53
46.22,49.17,49.32,43.76
49.33,49.68,50.22,48.20
49.62,52.97,53.21,49.20
53.18,52.31,53.76,52.29
52.24,50.69,52.94,49.88
50.60,48.12,50.85,47.08
47.97,48.70,48.74,47.01
48.78,48.45,49.62,47.09
48.49,53.19,53.80,48.31
53.33,54.02,54.61,52.54
53.99,53.48,54.94,53.35
53.40,53.80,53.95,52.68
53.86,53.81,54.13,51.22
53.83,53.15,54.34,52.24
53.17,53.33,54.08,52.21
52.42,52.55,53.52,50.91
52.37,53.75,53.83,50.71
53.99,54.20,55.24,52.11
53.72,53.29,54.37,53.03
53.02,52.15,53.79,51.51
51.90,52.58,54.51,49.95
51.50,51.46,52.42,49.61
51.68,45.43,51.80,44.82
46.06,45.83,49.20,45.77
45.69,43.20,46.58,42.20
43.41,44.45,45.95,43.03
44.07,48.25,48.74,43.57
48.70,50.85,50.98,48.42
50.85,50.23,51.93,49.47
50.35,49.57,51.60,49.15
